	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	19	20	21	22	23
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	% C3 IN C2 COMP	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10A100C3.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv
8/19/2004 0:05	8.681821823	90.55537415	202.8986511	385.0121155	379.8582764	40.93852234	46.37165833	42.07367325	83.39984131	1.385540366	138.177124	184.9889832	201.3769531	203.5512543	206.227066	5.668123245	4200.936035	92.46154022	93.40397644	5697.479004	1.439243793	2.174573421
8/19/2004 0:10	8.681196213	91.0675354	202.8986511	385.0254211	379.8929443	40.77233505	46.92868423	42.20550919	83.55937195	1.385540247	138.096344	185.0153503	201.4810333	203.9319458	206.2545319	5.652369499	4256.233398	92.57698059	93.1676178	5753.108887	1.433872461	2.168693542
8/19/2004 0:15	8.691320419	90.94467163	202.8986511	385.0387878	379.8909302	41.17716217	47.09347916	42.57007599	83.73949432	1.385540247	137.8841858	185.0417023	201.5851135	203.9044647	206.2819824	5.654695034	4181.558594	91.88303375	92.93125916	5689.147949	1.42850101	2.162813902
8/19/2004 0:20	8.69222641	90.35432434	202.8986511	385.0444336	379.8623352	41.08487701	47.25827789	42.62739563	83.90429688	1.382564783	138.0226135	185.0680847	201.6891785	203.8769989	206.3094635	5.651827812	4355.92627	92.06937408	92.7622757	5694.979492	1.426418424	2.16017127
8/19/2004 0:25	8.692196846	90.55041504	202.8986664	385.0443726	379.8337097	41.22989655	47.15610504	42.68471909	84.18183899	1.382488489	138.161026	185.0944366	201.4615936	203.8495178	206.4583282	5.695056915	4382.540039	92.81651306	92.6122818	5663.768066	1.426716805	2.15987277
8/19/2004 0:30	8.687826157	90.61699677	203.1539307	385.0444336	379.8051147	40.95962143	47.47741318	42.74203873	84.22825623	1.367229223	138.327301	185.0776672	201.9279785	203.8220673	206.4583282	5.687990665	4443.575195	94.21292877	92.46229553	5570.967285	1.427015424	2.15957427
8/19/2004 0:35	8.686574936	91.01345825	202.9741669	385.0443726	379.7765198	40.76845551	47.55821228	42.79936218	84.27466583	1.412197351	138.2247314	185.5880585	201.8455658	204.3183136	206.4583282	5.646095276	4441.384766	93.76430511	92.31230164	5647.617676	1.427313805	2.15927577
8/19/2004 0:40	8.68602562	90.9443512	203.1491394	385.0443726	379.7702332	41.30241394	47.55821228	42.50874329	84.32107544	1.42521441	138.1221466	184.9684143	201.44841	204.1272278	206.0496216	5.649757385	4455.183105	93.98480988	92.29367828	5708.630371	1.427612305	2.15897727
8/19/2004 0:45	8.679898262	90.87525177	202.6613312	385.0444336	379.7702332	41.42765808	47.55821228	42.68013763	84.36750031	1.42521441	138.019577	184.9684143	201.44841	203.7641602	205.8584595	5.640987873	4460.166016	93.0917511	92.48939514	5718.799316	1.43114233	2.157903671
8/19/2004 0:50	8.702216148	90.80615234	203.1456146	385.0444336	379.7702332	41.49357605	47.55821228	42.68013763	84.51239014	1.477095962	137.8304443	184.9684143	201.44841	203.6652985	206.3990021	5.651899815	4489.874023	92.15880585	92.685112	5652.083008	1.434738278	2.15681386
8/19/2004 0:55	8.681333542	90.56800842	203.1016846	385.0444031	379.7702332	41.01895523	47.08359146	43.15476227	84.63828278	1.484344006	137.7744904	184.8233948	201.44841	203.5664215	206.0694275	5.652168751	4393.704102	93.42097473	92.88082886	5661.631836	1.438334227	2.155724049
8/19/2004 1:00	8.684408188	90.68703461	203.057724	385.0444336	379.7707825	41.02005386	47.69005585	43.07829285	84.93930054	1.492355108	137.4511108	184.5531311	201.44841	203.4675446	206.5506287	5.659571648	4556.669434	93.36527252	93.07653809	5628.626465	1.441930175	2.154634476
8/19/2004 1:05	8.675168037	90.80604553	202.6824188	385.0315552	379.7738342	41.0749855	47.21543503	42.93393326	84.80465698	1.535081148	137.9980011	184.6833191	201.1847229	203.3474884	205.9460449	5.677883148	4481.541992	93.25035858	92.99641418	5655.508301	1.44086504	2.153419018
8/19/2004 1:10	8.678899765	90.92507172	203.1359558	385.0150757	379.776886	41.12991714	47.2214241	42.54829407	84.67001343	1.535081029	138.1387634	184.655838	201.1847229	203.4956207	206.2803497	5.67808485	4420.674316	92.21453094	92.83847809	5626.319336	1.438485146	2.152168036
8/19/2004 1:15	8.682645798	91.06970215	202.9469757	384.9985962	379.7799072	41.1848526	47.28134918	42.54829407	84.53536987	1.541110396	138.279541	184.6283875	201.6593475	203.4128265	206.2012482	5.683926105	4467.354492	92.20824432	92.68054199	5636.16748	1.436105251	2.150917053
